12455509,EHB      ,9/4/69,10:38.5,16.407,119.653,57.4,,,
12455682,EHB      ,10/6/69,48:07.3,14.961,120.084,65.9,,,
12455781,EHB      ,10/28/69,19:09.0,16.349,122.17,45.3,,,
12455866,EHB      ,11/11/69,06:07.2,15.545,119.362,42.1,,,
12456058,EHB      ,12/28/69,47:41.6,18.351,120.444,62.6,,,
12456201,EHB      ,1/24/70,57:47.1,18.075,119.309,26.3,,,
12456203,EHB      ,1/24/70,59:59.4,17.395,122.196,39.4,,,
12456223,EHB      ,1/29/70,21:19.3,15.001,120.101,71.8,,,
12456540,EHB      ,4/7/70,34:06.5,15.774,121.661,29.2,,,
12456542,EHB      ,4/7/70,04:41.8,15.437,121.852,56.7,,,
12456543,EHB      ,4/7/70,11:53.9,15.685,121.817,20.3,,,
12456544,EHB      ,4/7/70,34:16.6,15.545,121.81,5.9,,,
12456545,EHB      ,4/7/70,45:20.3,15.536,121.788,42.8,,,
12456546,EHB      ,4/7/70,59:56.9,15.441,121.778,19.6,,,
12456547,EHB      ,4/7/70,25:29.0,15.379,121.724,7.5,,,
12456550,EHB      ,4/7/70,24:27.5,15.418,121.696,14.3,,,
12456552,EHB      ,4/7/70,39:16.1,15.639,121.893,75.9,,,
12456553,EHB      ,4/7/70,31:46.3,15.372,121.806,103.9,,,
12456554,EHB      ,4/7/70,03:39.7,15.369,121.808,97.1,,,
12456555,EHB      ,4/7/70,10:12.3,15.34,121.858,15,,,
12456557,EHB      ,4/7/70,28:59.4,15.374,121.693,64.5,,,
12456559,EHB      ,4/7/70,05:52.4,15.375,121.789,18.1,,,
12456561,EHB      ,4/7/70,56:30.5,15.683,121.783,62.2,,,
12456563,EHB      ,4/7/70,11:17.8,15.351,121.813,35,,,
12456565,EHB      ,4/8/70,13:44.0,15.326,121.74,46.3,,,
12456566,EHB      ,4/8/70,30:10.6,15.342,121.671,31.4,,,
12456567,EHB      ,4/8/70,49:19.4,15.377,121.625,38.3,,,
12456568,EHB      ,4/8/70,53:00.5,15.395,121.758,17,,,
12456571,EHB      ,4/8/70,38:18.8,15.384,121.745,11.8,,,
